AAST2023,The African American Experience
MATH4153,Mathematical Modeling
MATH4163,Dynamic Models in Biology
MATH4173,Mathematical CAM Design
MATH4253,Symbolic Logic I
MATH4303,Ordinary Differential Equations
MATH4353,Numerical Linear Algebra
MATH4363,Numerical Analysis
MATH4423,Introduction to Partial Differential Equations
MATH4443,Complex Variables
MATH4503,Differential Geometry
MATH4513,Advanced Calculus I
MATH4523,Advanced Calculus II
MATH4703,Introduction to Point-Set Topology
MATH4933,Mathematics Major Seminar
MATH498V,Senior Thesis
MATH499V,Research Topics in Mathematics
MATH499VH,Honors Research Topics in Mathematics
MEEG2003,Statics
MEEG2013,Dynamics
MEEG2100,Computer-aided Design Competency
MEEG2103,Introduction to Machine Analysis
MEEG2303,Introduction to Materials
MEEG2403,Thermodynamics
MEEG2703,Computer Methods in Mechanical Engineering
MEEG3013,Mechanics of Materials
MEEG3113,Machine Dynamics and Control
MEEG3202L,Mechanical Engineering Laboratory I
MEEG3212L,Mechanical Engineering Laboratory II
MEEG3503,Mechanics of Fluids
MEEG4003,Intermediate Dynamics
MEEG4023,Composite Materials:  Analysis and Design
MEEG4104,Machine Element Design
MEEG4104H,Honors Machine Element Design
MEEG4123,Finite Element Methods I
MEEG4132,Professional Engineering Practices
MEEG4143,Design for Safety
MEEG4153,Fundamentals of Mechanical Design
MEEG4182,Creative Project Design I
MEEG4192,Creative Project Design II
MEEG4202L,Mechanical Engineering Laboratory III
MEEG4213,Control of Mechanical Systems
MEEG4233,Microprocessors in Mechanical Engineering I: Electromechanical Systems
MEEG4253,Introduction to Robotics
MEEG4303,Materials Laboratory
MEEG4303H,Honors Materials Laboratory
MEEG4313,Introduction to Tribology
MEEG4323L,Nanotechnology Laboratory
MEEG4323M,Honors Nanotechnology Laboratory
MEEG4413,Heat Transfer
MEEG4423,Power Generation
MEEG4433,Aerospace Propulsion
MEEG4453,Industrial Waste and Energy Management
MEEG4473,Indoor Environmental Control
MEEG4483,Thermal Systems Analysis and Design
MEEG4483H,Honors Thermal Systems Analysis and Design
MEEG4493,Internal Combustion Engines
MEEG4503,Introduction to Flight
MEEG4503H,Honors Introduction to Flight
MEEG4523,Astronautics
MEEG4633,Additive Manufacturing
MEEG4703,Mathematical Methods in Engineering
MEEG4903H,Honors Mechanical Engineering Research
MEEG491V,Special Topics in Mechanical Engineering
MEEG491VH,Honors Special Topics in Mechanical Engineering
MEEG492V,Individual Study in Mechanical Engineering
MEEG492VH,Honors Individual Study in Mechanical Engineering
MGMT4243,Ethics and Corporate Responsibility
MGMT4583,International Management
MILS3004,Applied Leadership I
MILS3014,Applied Leadership II
MILS4001,Advanced Military Issues
MILS4004,Advanced Leadership I
MILS4011,Advanced Military Correspondence
MILS4014,Advanced Leadership II
MKTG3433,Introduction to Marketing
MKTG3553,Consumer Behavior
MKTG3633,Marketing Research
MKTG4233,Integrated Marketing Communications
MKTG4343,Selling and Sales Management
MKTG4433,Retail Strategy
MKTG4443,Retail Buying and Merchandise
MKTG4633,Global Marketing
MLIT1003,Experiencing Music 
MLIT1013,Music and Society
MLIT1333,Popular Music
MRST2013,Introduction to Medieval and Renaissance Studies
MUSY2003,Music in World Cultures
OMGT4313,Law and Ethics
OMGT4323,Industrial Cost Analysis
OMGT4333,Applied Statistics
OMGT4853,Introduction to Decision Support Tools in Operations Management
OMGT5403,Industrial Safety and Health Administration
OMGT5613,Lean Production and Inventory Control
OMGT5623,Strategic Management
OMGT5673,Principles of Operations Research
OMGT5783,Project Management for Operations Managers
PHIL2003,Introduction to Philosophy 
PHIL2103,Introduction to Ethics 
PHIL2203,Logic 
PHIL3103,Ethics and the Professions
PHYS1024,Physics and Human Affairs (with Lab)
PHYS1034,Physics for Elementary Education Majors
PHYS1044,Physics for Architects I
PHYS1054,Physics for Architects II
PHYS2014,College Physics I (with Lab)
PHYS2034,College Physics II (with Lab)
PHYS2054,University Physics I 
PHYS2074,University Physics II 
PHYS2094,University Physics III
PHYS306V,Projects
PHYS3113,Analytical Mechanics
PHYS3213,Electronics in Experimental Physics
PHYS3273,UAteach Research Methods
PHYS3273H,Honors UAteach Research Methods
PHYS3453,Electromagnetic Theory I
PHYS3463,Electromagnetic Theory II
PHYS3544,Optics
PHYS3603,Introduction to Modern Physics
PHYS360VL,Modern Physics Laboratory
PHYS3613,Modern Physics
PHYS3923H,Honors Colloquium
PHYS399VH,Honors
PHYS400V,Laboratory and Classroom Practices in Physics
PHYS4073,Introduction to Quantum Mechanics
PHYS4083,Advanced Quantum Mechanics
PHYS4103,Physics in Perspective
PHYS4113,Physics in Perspective
PHYS4203,Physics of Devices
PHYS4213,Physics of Devices
PHYS4333,Thermal Physics
PHYS4613,Introduction to Biophysics and Biophysical Techniques
PHYS462VL,Modern Physics Laboratory
PHYS462VL,Modern Physics Laboratory
PHYS4653,Subatomic Physics
PHYS4713,Solid State Physics
PHYS4734,Introduction to Laser Physics
PHYS4734,Introduction to Laser Physics
PHYS4773,Introduction to Optical Properties of Materials
PHYS4793L,Nanotechnology Laboratory
PHYS4793M,Honors Nanotechnology Laboratory
PHYS4803,Mathematical Physics
PHYS498V,Senior Thesis
PHYS4991,Physics Senior Seminar
PLPA3004,Principles of Plant Pathology
PLPA400V,Research
PLPA4223,Plant Disease Control
PLPA4304,Applied Plant Disease Management
PLPA4333,Biotechnology in Agriculture
PLPA462V,Internship
PLSC2003,American National Government 
PLSC2013,Introduction to Comparative Politics
PLSC2203,State and Local Government 
PORT2003,Intermediate Portuguese I
PORT2013,Intermediate Portuguese II
PSYC2003,General Psychology 
RESM2853,Leisure and Society
RUSS2003,Intermediate Russian I
RUSS2013,Intermediate Russian II
SCMT3443,Transportation and Distribution Management
SCMT3613,Supply Management
SCMT3643,International Transportation and Logistics
SOCI2013,General Sociology 
SOCI2033,Social Problems 
SPAN2003,Intermediate Spanish I 
SPAN2013,Intermediate Spanish II 
STAT2023,Biostatistics
STAT2303,Principles of Statistics 
STAT3013,Introduction to Probability
STAT3113,Introduction to Mathematical Statistics
STAT4003,Statistical Methods
STAT4004,Statistical Methods (with Lab)
STAT4033,Nonparametric Statistical Methods
STAT4043,Sampling Techniques
STAT405V,Internship in Professional Practice
STAT4101L,Introduction to R
STAT4333,Analysis of Categorical Responses
STAT4373,Experimental Design
STAT5113,Statistical Inference
SUST4103,Capstone Experience in Sustainability
SWAH2003,Intermediate Swahili I
SWAH2013,Intermediate Swahili II
SWAH2116,Intensive Swahili II
THTR1003,Basic Course in the Arts: Theatre Appreciation 
THTR1013,Musical Theatre Appreciation
UARK000E,Free Elective
UARK300E,Free Elective (3000+ Level)
WLIT1113,World Literature I 
WLIT1123,World Literature II 
